name,price,point,id,sport_key,commence_time,home_team,away_team,bookmakers.key,bookmakers.last_update
Over,1.91,43.0,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betmgm,2024-12-12T00:36:51Z
Under,1.91,43.0,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betmgm,2024-12-12T00:36:51Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,bovada,2024-12-12T00:36:51Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,bovada,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,draftkings,2024-12-12T00:36:51Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,draftkings,2024-12-12T00:36:51Z
Over,1.83,42.5,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,fanduel,2024-12-12T00:37:38Z
Under,1.98,42.5,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,fanduel,2024-12-12T00:37:38Z
Over,1.93,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,lowvig,2024-12-12T00:36:51Z
Under,1.93,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,lowvig,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betonlineag,2024-12-12T00:37:49Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betonlineag,2024-12-12T00:37:49Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betus,2024-12-12T00:36:52Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betus,2024-12-12T00:36:52Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,mybookieag,2024-12-12T00:36:06Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,mybookieag,2024-12-12T00:36:06Z
Over,1.89,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betrivers,2024-12-12T00:36:51Z
Under,1.92,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betrivers,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betmgm,2024-12-12T00:36:51Z
